# doc_id	method	coverage	matched/total — below threshold, need a look
104936	marker	0.00	0/3
10520	marker	0.44	15/34
10551	id	0.42	11/26
10555	id	0.33	1/3
10556	id	0.33	1/3
10570	marker	0.19	29/149
10584	marker	0.34	21/62
10602	marker	0.00	0/8
10605	marker	0.42	5/12
10705	marker	0.38	21/55
107370	marker	0.00	0/4
107419	marker	0.00	0/24
107422	marker	0.00	0/4
107460	marker	0.00	0/5
107553	marker	0.00	0/15
107643	marker	0.00	0/7
107671	marker	0.00	0/15
107692	marker	0.00	0/2
107752	marker	0.00	0/3
107761	marker	0.00	0/3
10779	marker	0.29	8/28
10782	marker	0.31	9/29
107821	id	0.20	1/5
107823	marker	0.00	0/4
107858	id	0.20	1/5
107860	id	0.33	1/3
107886	marker	0.00	0/3
107916	id	0.33	1/3
107935	marker	0.00	0/2
107936	marker	0.00	0/3
107943	marker	0.00	0/9
107946	marker	0.00	0/8
10802	marker	0.35	94/272
108029	marker	0.00	0/21
10805	marker	0.30	3/10
108054	marker	0.00	0/3
10806	marker	0.25	3/12
10807	marker	0.30	3/10
10808	marker	0.38	43/114
108178	marker	0.00	0/3
108193	marker	0.00	0/3
108297	marker	0.00	0/2
108384	marker	0.00	0/4
108428	marker	0.00	0/9
108457	marker	0.00	0/5
108483	marker	0.00	0/10
108602	marker	0.00	0/25
108604	marker	0.00	0/4
108689	id	0.33	1/3
108706	marker	0.00	0/4
108836	marker	0.00	0/5
108900	marker	0.00	0/2
108905	marker	0.00	0/5
108939	marker	0.00	0/12
108941	marker	0.00	0/10
108942	marker	0.00	0/15
108948	marker	0.00	0/7
109005	marker	0.00	0/4
109013	marker	0.00	0/4
109015	marker	0.00	0/2
109017	marker	0.00	0/2
109082	marker	0.00	0/2
109094	marker	0.00	0/3
109172	marker	0.00	0/3
109185	marker	0.00	0/5
109225	marker	0.00	0/2
109237	marker	0.00	0/5
109244	marker	0.00	0/8
109319	marker	0.00	0/2
109328	marker	0.00	0/2
109351	marker	0.00	0/15
109358	marker	0.00	0/2
109387	marker	0.00	0/2
109414	id	0.33	1/3
109449	marker	0.00	0/3
109459	marker	0.00	0/2
109460	marker	0.00	0/3
109462	marker	0.00	0/2
109477	marker	0.00	0/46
109506	marker	0.00	0/2
109516	marker	0.00	0/8
109564	marker	0.00	0/2
109569	marker	0.00	0/2
109580	marker	0.00	0/2
109598	marker	0.00	0/7
109621	marker	0.00	0/3
109674	marker	0.00	0/7
109678	marker	0.00	0/6
109695	marker	0.00	0/14
10971	marker	0.40	23/57
109714	marker	0.00	0/2
109722	marker	0.00	0/8
109735	marker	0.00	0/2
109737	marker	0.00	0/3
109785	marker	0.00	0/5
109797	marker	0.00	0/2
109803	marker	0.00	0/3
109804	marker	0.00	0/1
109827	marker	0.00	0/9
109933	marker	0.00	0/3
109945	marker	0.00	0/4
109948	marker	0.00	0/5
109957	marker	0.00	0/14
109977	marker	0.00	0/4
